id,nome_normalizado,nome,sigla,habilitacao,coordenacao_id,grau_id,turno_id,created_at,updated_at
279,LETRASPORTUGUESEOUINGLES,Letras - Português e/ou Inglês,,Letras - Português e/ou Inglês,,2,7,2024-11-12 20:03:29.872564,2024-11-12 20:03:29.872569
280,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos da tradução em Português e Italiano,,1,3,2024-11-12 20:03:29.875718,2024-11-12 20:03:29.875723
281,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos da tradução em Português e Italiano,,1,7,2024-11-12 20:03:29.879156,2024-11-12 20:03:29.879162
282,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos linguísticos em Italiano,,1,3,2024-11-12 20:03:29.882106,2024-11-12 20:03:29.882111
283,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos linguísticos em Italiano,,1,7,2024-11-12 20:03:29.885781,2024-11-12 20:03:29.885786
284,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos linguísticos em Português e Italiano,,1,3,2024-11-12 20:03:29.888714,2024-11-12 20:03:29.888720
285,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos linguísticos em Português e Italiano,,1,7,2024-11-12 20:03:29.892330,2024-11-12 20:03:29.892338
286,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos literários em Italiano,,1,3,2024-11-12 20:03:29.895327,2024-11-12 20:03:29.895332
287,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos literários em Italiano,,1,7,2024-11-12 20:03:29.898728,2024-11-12 20:03:29.898733
288,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos literários em Português e Italiano,,1,3,2024-11-12 20:03:29.901620,2024-11-12 20:03:29.901626
289,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Estudos literários em Português e Italiano,,1,7,2024-11-12 20:03:29.905307,2024-11-12 20:03:29.905312
290,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Português e/ou Italiano,,3,7,2024-11-12 20:03:29.908815,2024-11-12 20:03:29.908820
291,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Letras - Português e/ou Italiano,,2,3,2024-11-12 20:03:29.911723,2024-11-12 20:03:29.911728
292,LETRASPORTUGUESEOUITALIANO,Letras - Português e/ou Italiano,,Letras - Português e/ou Italiano,,2,7,2024-11-12 20:03:29.915428,2024-11-12 20:03:29.915434
293,LETRASPORTUGUESEPOLONES,Letras - Português e Polonês,,Português e Polonês,,2,7,2024-11-12 20:03:29.919039,2024-11-12 20:03:29.919044
294,LETRASPORTUGUESEPOLONES,Letras - Português e Polonês,,Português e Polonês,,2,5,2024-11-12 20:03:29.921959,2024-11-12 20:03:29.921964
295,LETRASPORTUGUES,Letras - Português,,Letras - Português,,3,7,2024-11-12 20:03:29.925551,2024-11-12 20:03:29.925556
296,LETRASPORTUGUES,Letras - Português,,Letras - Português,,2,3,2024-11-12 20:03:29.928483,2024-11-12 20:03:29.928488
297,LETRASPORTUGUES,Letras - Português,,Letras - Português,,2,7,2024-11-12 20:03:29.931873,2024-11-12 20:03:29.931878
298,LETRASPORTUGUES,Letras - Português,,Letras - Português,,2,5,2024-11-12 20:03:29.934747,2024-11-12 20:03:29.934752
299,LINGUAGEMECOMUNICACAO,Linguagem e Comunicação,,Linguagem e Comunicação,,2,5,2024-11-12 20:03:29.939282,2024-11-12 20:03:29.939288
300,LUTERIA,Luteria,,Luteria,,6,8,2024-11-12 20:03:29.942677,2024-11-12 20:03:29.942683
301,MATEMATICA,Matemática,,Matemática,,1,2,2024-11-12 20:03:29.945806,2024-11-12 20:03:29.945812
302,MATEMATICA,Matemática,,Matemática,,1,6,2024-11-12 20:03:29.949488,2024-11-12 20:03:29.949493
303,MATEMATICAINDUSTRIAL,Matemática Industrial,,Matemática Industrial,,1,2,2024-11-12 20:03:29.952606,2024-11-12 20:03:29.952612
304,MATEMATICA,Matemática,,Matemática,,3,6,2024-11-12 20:03:29.956017,2024-11-12 20:03:29.956022
305,MATEMATICA,Matemática,,Matemática,,2,2,2024-11-12 20:03:29.959007,2024-11-12 20:03:29.959252
306,MATEMATICA,Matemática,,Matemática,,2,6,2024-11-12 20:03:29.962679,2024-11-12 20:03:29.962684
307,MEDICINA,Medicina,,Medicina,,1,8,2024-11-12 20:03:29.965675,2024-11-12 20:03:29.965680
308,MEDICINAVETERINARIA,Medicina Veterinária,,Medicina Veterinária,,1,8,2024-11-12 20:03:29.968950,2024-11-12 20:03:29.968957
309,MUSICA,Música,,Música,,1,2,2024-11-12 20:03:29.972628,2024-11-12 20:03:29.972634
310,MUSICA,Música,,Música,,1,8,2024-11-12 20:03:29.976284,2024-11-12 20:03:29.976291
311,MUSICA,Música,,Música,,2,8,2024-11-12 20:03:29.979581,2024-11-12 20:03:29.979587
312,MUSICA,Música,,Música,,2,2,2024-11-12 20:03:29.982801,2024-11-12 20:03:29.982807
313,MUSICA,Música,,Música,,2,8,2024-11-12 20:03:29.986887,2024-11-12 20:03:29.986894
314,NEGOCIOSIMOBILIARIOS,Negócios Imobiliários,,Negócios Imobiliários,,6,5,2024-11-12 20:03:29.990433,2024-11-12 20:03:29.990449
315,NUTRICAO,Nutrição,,Nutrição,,1,8,2024-11-12 20:03:29.993910,2024-11-12 20:03:29.993916
316,OCEANOGRAFIA,Oceanografia,,Oceanografia,,1,8,2024-11-12 20:03:29.997216,2024-11-12 20:03:29.997221
317,ODONTOLOGIA,Odontologia,,Odontologia,,1,8,2024-11-12 20:03:30.000892,2024-11-12 20:03:30.000899
318,PEDAGOGIA,Pedagogia,,Pedagogia,,2,3,2024-11-12 20:03:30.004035,2024-11-12 20:03:30.004041
