id,curriculo_id,disciplina_id,natureza_disciplina_id,created_at,updated_at
79,3,2431,2,2024-11-12 20:04:11.667957,2024-11-12 20:04:11.667963
80,3,2432,2,2024-11-12 20:04:11.671993,2024-11-12 20:04:11.671999
81,3,2434,2,2024-11-12 20:04:11.675878,2024-11-12 20:04:11.675884
82,3,2436,2,2024-11-12 20:04:11.679589,2024-11-12 20:04:11.679595
83,3,13098,2,2024-11-12 20:04:11.683682,2024-11-12 20:04:11.683688
84,3,13099,2,2024-11-12 20:04:11.687312,2024-11-12 20:04:11.687318
85,3,2438,2,2024-11-12 20:04:11.691229,2024-11-12 20:04:11.691235
86,3,2439,2,2024-11-12 20:04:11.694967,2024-11-12 20:04:11.694973
87,3,13102,2,2024-11-12 20:04:11.698873,2024-11-12 20:04:11.698879
88,3,2441,2,2024-11-12 20:04:11.702665,2024-11-12 20:04:11.702671
89,3,2442,2,2024-11-12 20:04:11.706284,2024-11-12 20:04:11.706290
90,3,2444,2,2024-11-12 20:04:11.710246,2024-11-12 20:04:11.710253
91,3,2446,2,2024-11-12 20:04:11.713941,2024-11-12 20:04:11.713947
92,3,13107,2,2024-11-12 20:04:11.717856,2024-11-12 20:04:11.717862
93,3,2447,2,2024-11-12 20:04:11.721576,2024-11-12 20:04:11.721582
94,3,2449,2,2024-11-12 20:04:11.725438,2024-11-12 20:04:11.725444
95,3,2450,2,2024-11-12 20:04:11.729167,2024-11-12 20:04:11.729173
96,3,4969,2,2024-11-12 20:04:11.732873,2024-11-12 20:04:11.732880
97,3,1778,2,2024-11-12 20:04:11.736844,2024-11-12 20:04:11.736850
98,3,2519,2,2024-11-12 20:04:11.740571,2024-11-12 20:04:11.740577
99,3,7024,2,2024-11-12 20:04:11.744504,2024-11-12 20:04:11.744511
100,3,10023,2,2024-11-12 20:04:11.748404,2024-11-12 20:04:11.748412
101,3,10122,2,2024-11-12 20:04:11.753005,2024-11-12 20:04:11.753014
102,3,10164,2,2024-11-12 20:04:11.758445,2024-11-12 20:04:11.758474
103,3,10165,2,2024-11-12 20:04:11.763858,2024-11-12 20:04:11.763868
104,3,2200,2,2024-11-12 20:04:11.769021,2024-11-12 20:04:11.769031
105,3,2201,2,2024-11-12 20:04:11.773532,2024-11-12 20:04:11.773540
106,3,2202,2,2024-11-12 20:04:11.778350,2024-11-12 20:04:11.778359
107,3,2203,2,2024-11-12 20:04:11.783640,2024-11-12 20:04:11.783652
108,3,2204,2,2024-11-12 20:04:11.789000,2024-11-12 20:04:11.789012
109,3,2205,2,2024-11-12 20:04:11.794543,2024-11-12 20:04:11.794557
110,3,2206,2,2024-11-12 20:04:11.801127,2024-11-12 20:04:11.801141
111,3,2207,2,2024-11-12 20:04:11.807736,2024-11-12 20:04:11.807748
