id,nome,nome_normalizado,sigla,numero,created_at,updated_at
41,Departamento de Estomatologia,DEPARTAMENTODEESTOMATOLOGIA,,191,2024-11-12 20:03:28.653322,2024-11-12 20:03:28.653328
42,Departamento de Farmácia,DEPARTAMENTODEFARMACIA,,192,2024-11-12 20:03:28.654629,2024-11-12 20:03:28.654635
43,Departamento de Medicina Forense e Psiquiatria,DEPARTAMENTODEMEDICINAFORENSEEPSIQUIATRIA,,193,2024-11-12 20:03:28.656027,2024-11-12 20:03:28.656032
44,Departamento de Nutrição,DEPARTAMENTODENUTRICAO,,194,2024-11-12 20:03:28.657358,2024-11-12 20:03:28.657363
45,Departamento de Oftalmo-Otorrinolaringologia,DEPARTAMENTODEOFTALMOOTORRINOLARINGOLOGIA,,196,2024-11-12 20:03:28.658889,2024-11-12 20:03:28.658895
46,Departamento de Odontologia Restauradora,DEPARTAMENTODEODONTOLOGIARESTAURADORA,,197,2024-11-12 20:03:28.660372,2024-11-12 20:03:28.660378
47,Departamento de Pediatria,DEPARTAMENTODEPEDIATRIA,,198,2024-11-12 20:03:28.662112,2024-11-12 20:03:28.662118
48,Departamento de Patologia Médica,DEPARTAMENTODEPATOLOGIAMEDICA,,199,2024-11-12 20:03:28.663701,2024-11-12 20:03:28.663707
49,Setor de Ciências Biológicas,SETORDECIENCIASBIOLOGICAS,,19,2024-11-12 20:03:28.665375,2024-11-12 20:03:28.665382
50,Departamento de Saúde Comunitária,DEPARTAMENTODESAUDECOMUNITARIA,,200,2024-11-12 20:03:28.668074,2024-11-12 20:03:28.668087
51,Departamento de Tocoginecologia,DEPARTAMENTODETOCOGINECOLOGIA,,201,2024-11-12 20:03:28.672161,2024-11-12 20:03:28.672170
52,Setor de Ciências da Terra,SETORDECIENCIASDATERRA,,20,2024-11-12 20:03:28.675985,2024-11-12 20:03:28.676007
53,Setor Palotina,SETORPALOTINA,,2113,2024-11-12 20:03:28.678379,2024-11-12 20:03:28.678387
54,Coordenação do Curso de Ciências Sociais,COORDENACAODOCURSODECIENCIASSOCIAIS,,211,2024-11-12 20:03:28.680907,2024-11-12 20:03:28.680915
55,Coordenação do Curso de Matemática,COORDENACAODOCURSODEMATEMATICA,,220,2024-11-12 20:03:28.683064,2024-11-12 20:03:28.683072
56,Coordenação do Curso de Matemática Industrial,COORDENACAODOCURSODEMATEMATICAINDUSTRIAL,,221,2024-11-12 20:03:28.684675,2024-11-12 20:03:28.684681
57,Coordenação do Curso de Ciências Biológicas,COORDENACAODOCURSODECIENCIASBIOLOGICAS,,223,2024-11-12 20:03:28.686355,2024-11-12 20:03:28.686362
58,Coordenação do Curso de Educação Física,COORDENACAODOCURSODEEDUCACAOFISICA,,225,2024-11-12 20:03:28.694863,2024-11-12 20:03:28.694873
59,Departamento de Expressão Gráfica,DEPARTAMENTODEEXPRESSAOGRAFICA,,227,2024-11-12 20:03:28.697816,2024-11-12 20:03:28.697829
60,Departamento de Estatística,DEPARTAMENTODEESTATISTICA,,228,2024-11-12 20:03:28.700766,2024-11-12 20:03:28.700774
61,Departamento de Física,DEPARTAMENTODEFISICA,,230,2024-11-12 20:03:28.703004,2024-11-12 20:03:28.703013
62,Departamento de Informática,DEPARTAMENTODEINFORMATICA,,232,2024-11-12 20:03:28.705648,2024-11-12 20:03:28.705657
63,Departamento de Matemática,DEPARTAMENTODEMATEMATICA,,233,2024-11-12 20:03:28.707868,2024-11-12 20:03:28.707876
64,Secretaria do Departamento de Teoria e Prática de Ensino,SECRETARIADODEPARTAMENTODETEORIAEPRATICADEENSINO,,2341,2024-11-12 20:03:28.709816,2024-11-12 20:03:28.709822
65,Departamento de Design,DEPARTAMENTODEDESIGN,,234,2024-11-12 20:03:28.711280,2024-11-12 20:03:28.711287
66,Departamento de Química,DEPARTAMENTODEQUIMICA,,235,2024-11-12 20:03:28.713061,2024-11-12 20:03:28.713067
67,Departamento de Anatomia,DEPARTAMENTODEANATOMIA,,236,2024-11-12 20:03:28.714941,2024-11-12 20:03:28.714948
68,Departamento de Antropologia,DEPARTAMENTODEANTROPOLOGIA,,237,2024-11-12 20:03:28.716737,2024-11-12 20:03:28.716743
69,Departamento de Artes,DEPARTAMENTODEARTES,,239,2024-11-12 20:03:28.718306,2024-11-12 20:03:28.718312
