id,curriculo_id,codigo,nome,created_at,updated_at
94,5,CI1059,INTRODUÇÃO À TEORIA DA COMPUTAÇÃO,2024-11-12 20:04:39.761025,2024-11-12 20:04:39.761025
95,5,CI1061,REDES DE COMPUTADORES 2,2024-11-12 20:04:39.767366,2024-11-12 20:04:39.767366
96,5,CI1062,PARADIGMAS DE PROGRAMAÇÃO,2024-11-12 20:04:39.773730,2024-11-12 20:04:39.773730
97,5,CI1064,SOFTWARE BÁSICO,2024-11-12 20:04:39.780607,2024-11-12 20:04:39.780607
98,5,CI1065,ALGORITMOS E TEORIA DOS GRAFOS,2024-11-12 20:04:39.787972,2024-11-12 20:04:39.787972
99,5,CI1100,ESTÁGIO SUPERVISIONADO,2024-11-12 20:04:39.795227,2024-11-12 20:04:39.795227
100,5,CI1162,ENGENHARIA DE REQUISITOS,2024-11-12 20:04:39.801865,2024-11-12 20:04:39.801865
101,5,CI1163,DESIGN DE SOFTWARE,2024-11-12 20:04:39.808339,2024-11-12 20:04:39.808339
102,5,CI1164,INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,2024-11-12 20:04:39.815637,2024-11-12 20:04:39.815637
103,5,CI1165,ANÁLISE DE ALGORITMOS,2024-11-12 20:04:39.821895,2024-11-12 20:04:39.821895
104,5,CI1209,INTELIGÊNCIA ARTIFICIAL,2024-11-12 20:04:39.829352,2024-11-12 20:04:39.829352
105,5,CI1211,CONSTRUÇÃO DE COMPILADORES,2024-11-12 20:04:39.836542,2024-11-12 20:04:39.836542
106,5,CI1215,SISTEMAS OPERACIONAIS,2024-11-12 20:04:39.845429,2024-11-12 20:04:39.845429
107,5,CI1218,BANCOS DE DADOS,2024-11-12 20:04:39.853071,2024-11-12 20:04:39.853071
108,5,CI1221,ENGENHARIA DE SOFTWARE,2024-11-12 20:04:39.860216,2024-11-12 20:04:39.860216
109,5,CI1238,OTIMIZAÇÃO,2024-11-12 20:04:39.866981,2024-11-12 20:04:39.866981
110,5,CI1316,PROGRAMAÇÃO PARALELA,2024-11-12 20:04:39.873525,2024-11-12 20:04:39.873525
111,5,CI1350,INTERAÇÃO HUMANO-COMPUTADOR,2024-11-12 20:04:39.880931,2024-11-12 20:04:39.880931
112,5,Optativa,Optativa,2024-11-12 20:04:39.893667,2024-11-12 20:04:39.893667
113,5,TCC1,Trabalho de Conclusão de Curso 1,2024-11-12 20:04:40.115897,2024-11-12 20:04:40.115897
114,5,TCC2,Trabalho de Conclusão de Curso 2,2024-11-12 20:04:40.244961,2024-11-12 20:04:40.244961
